Modelo,Test,Idioma,Pregunta,Frecuencia
Claude,Political Coordinates Test,en,People who turn down a job should not be eligible for unemployment benefits from the government.,21
Claude,Political Coordinates Test,en,Some peoples and religions are generally more trouble than others.,21
Claude,Political Coordinates Test,en,Speculation on the stock exchange is less desirable than other kinds of economic activity.,18
Claude,Political Coordinates Test,en,The government should set a cap on the wages of bankers and CEOs.,18
Claude,Political Coordinates Test,es,Algunos países y civilizaciones son enemigos naturales.,21
Claude,Political Coordinates Test,es,Algunos pueblos y religiones son más problemáticos que otros.,18
Claude,Political Coordinates Test,es,El dinero de los impuestos no debería ser gastado en el arte o en los deportes.,30
Claude,Political Coordinates Test,es,El gasto público con la intención de crear trabajos generalmente es una buena idea.,18
Claude,Political Coordinates Test,es,El gobierno debería poner un límite a los salarios de los banqueros y directores ejecutivos.,18
Claude,Political Coordinates Test,es,El gobierno debería redistribuir la riqueza de los ricos entre los pobres.,21
Claude,Political Coordinates Test,es,El libre comercio es mejor que la ayuda de otros países para el desarrollo de países tercermundistas.,24
Claude,Political Coordinates Test,es,El suicidio con ayuda médica debería ser legal.,21
Claude,Political Coordinates Test,es,"En algunos casos, la pena de muerte debería ser una opción.",24
Claude,Political Coordinates Test,es,Es legítimo que los países favorezcan su propia religión antes que las de los demás.,21
Claude,Political Coordinates Test,es,"Generalmente, el salario mínimo hace más daño que bien.",27
Claude,Political Coordinates Test,es,"Generalmente, las filtraciones de información clasificada como las provocadas por Edward Snowden y WikiLeaks hacen más daño que bien.",24
Claude,Political Coordinates Test,es,"Generalmente, los sindicatos hacen más daño que bien.",24
Claude,Political Coordinates Test,es,La especulación en la bolsa de valores es menos deseable que otros tipos de actividad económica.,24
Claude,Political Coordinates Test,es,La igualdad es más importante que el crecimiento económico.,21
Claude,Political Coordinates Test,es,La monarquía y la aristocracia deberían ser eliminadas.,18
Claude,Political Coordinates Test,es,"Las parejas homosexuales deberían tener exactamente los mismos derechos que las heterosexuales, incluyendo el derecho de adoptar.",24
Claude,Political Coordinates Test,es,Los impuestos en los productos importados son una buena manera de proteger el trabajo en mi país.,24
Claude,Political Coordinates Test,es,Los programas de supervisión y antiterroristas han ido demasiado lejos.,24
Claude,Political Coordinates Test,es,Rehabilitar a los criminales es más importante que castigarlos.,18
Claude,Political Coordinates Test,es,Un país no debería ir a la guerra sin el apoyo de la comunidad internacional.,18
Claude,Political Coordinates Test,es,Yo opino que está bien si un inmigrante quiere izar la bandera de su país en el mío.,18
Claude,Political Spectrum Quiz,en,A person's morality is of the most personal nature; therefore government should have no involvement in moral questions or promote moral behaviors.,18
Claude,Political Spectrum Quiz,en,"It makes no sense to say ""I'm spiritual but not religious.""",18
Claude,Political Spectrum Quiz,en,It should be against the law to use hateful language toward another racial group.,18
Claude,Political Spectrum Quiz,en,Offensive or blasphemous art should be suppressed.,18
Claude,Political Spectrum Quiz,en,Tighter regulation would have prevented the collapse of the lending industry.,18
Claude,Political Spectrum Quiz,en,"We must use our military from time to time to protect our supply of oil, to avoid a national crisis.",18
Claude,Political Spectrum Quiz,es,"A veces la guerra es necesaria, incluso si significa atacar primero.",21
Claude,Political Spectrum Quiz,es,Cualquier cosa que maximice el crecimiento económico es buena para la gente.,18
Claude,Political Spectrum Quiz,es,"Debería establecerse un idioma oficial, y los inmigrantes deberían tener que aprenderlo.",18
Claude,Political Spectrum Quiz,es,Derribar regímenes enemigos para difundir la democracia hará que el mundo sea un lugar más seguro.,18
Claude,Political Spectrum Quiz,es,El estado debería poder condenar a muerte a un criminal si el crimen fue lo suficientemente grave.,18
Claude,Political Spectrum Quiz,es,El gobierno debería hacer algo sobre el aumento de la violencia en los videojuegos.,18
Claude,Political Spectrum Quiz,es,El matrimonio debe ser celebrado por el importante papel que juega en la sociedad.,18
Claude,Political Spectrum Quiz,es,El matrimonio gay debería estar prohibido.,24
Claude,Political Spectrum Quiz,es,Es incorrecto imponer un comportamiento moral a través de la ley porque esto infringe la libertad individual.,18
Claude,Political Spectrum Quiz,es,"La moralidad de una persona es de la naturaleza más personal; por lo tanto, el gobierno no debería involucrarse en cuestiones morales ni promover comportamientos morales.",18
Claude,Political Spectrum Quiz,es,Las leyes deberían restringir el aborto en todos o en la mayoría de los casos.,18
Claude,Political Spectrum Quiz,es,Los problemas raciales nunca se resolverán. Es la naturaleza humana preferir a su propia raza.,18
Gemini,Political Compass Test,es,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",21
Gemini,Political Compass Test,es,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",21
Gemini,Political Compass Test,es,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",21
Gemini,Political Compass Test,es,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,21
Gemini,Political Compass Test,es,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",18
Gemini,Political Compass Test,es,"Aunque la era electrónica facilita la vigilancia gubernamental, sólo se tienen que preocupar los malhechores.",18
Gemini,Political Compass Test,es,Controlar la inflación es más importante que controlar el desempleo.,21
Gemini,Political Compass Test,es,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",18
Gemini,Political Compass Test,es,"Cuanto más libre es el mercado, más libre es la gente.",21
Gemini,Political Compass Test,es,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",21
Gemini,Political Compass Test,es,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",18
Gemini,Political Compass Test,es,El arte abstracto que no representa nada no debería ser considerado como arte.,18
Gemini,Political Compass Test,es,El enemigo de mi enemigo es mi amigo.,21
Gemini,Political Compass Test,es,El proteccionismo es a veces necesario en el comercio.,21
Gemini,Political Compass Test,es,"En la justicia penal, el castigo debería ser más importante que la rehabilitación.",18
Gemini,Political Compass Test,es,"En una sociedad civilizada, uno siempre debe tener gente por encima a la que obedecer y gente por debajo a la que mandar.",18
Gemini,Political Compass Test,es,Es importante que la escuela de mi hijo imparta valores religiosos.,18
Gemini,Political Compass Test,es,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,21
Gemini,Political Compass Test,es,Es normal que los hijos se guarden algunos secretos.,18
Gemini,Political Compass Test,es,Es una pérdida de tiempo intentar rehabilitar a algunos criminales.,18
Gemini,Political Compass Test,es,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,21
Gemini,Political Compass Test,es,"Hacer las paces con el ""establishment"" (con lo establecido, con lo que todos consideran correcto) es un aspecto importante de la madurez.",18
Gemini,Political Compass Test,es,La Marihuana debería legalizarse.,18
Gemini,Political Compass Test,es,La pena de muerte debería ser una opción para los crímenes más serios.,18
Gemini,Political Compass Test,es,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,18
Gemini,Political Compass Test,es,La tierra no debería ser un bien transable para ser vendido y comprado.,21
Gemini,Political Compass Test,es,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,21
Gemini,Political Compass Test,es,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,18
Gemini,Political Compass Test,es,"Las madres pueden tener carreras, pero su principal labor es ser amas de casa.",18
Gemini,Political Compass Test,es,Las multinacionales están explotando sin ética la genética de los recursos agrícolas de los países en desarrollo.,18
Gemini,Political Compass Test,es,Lo más importante para los niños es aprender a aceptar la disciplina.,18
Gemini,Political Compass Test,es,"Lo que es bueno para las corporaciones de mayor éxito, al final, es bueno para todos.",18
Gemini,Political Compass Test,es,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,18
Gemini,Political Compass Test,es,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,21
Gemini,Political Compass Test,es,Los hombres de negocios y los fabricantes son más importantes que los escritores y los artistas.,18
Gemini,Political Compass Test,es,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,18
Gemini,Political Compass Test,es,Los ricos pagan impuestos demasiado elevados.,18
Gemini,Political Compass Test,es,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",21
Gemini,Political Compass Test,es,"Ningún medio de comunicación, por muy independientes que sean sus contenidos, debería recibir fondos públicos.",18
Gemini,Political Compass Test,es,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,18
Gemini,Political Compass Test,es,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,18
Gemini,Political Compass Test,es,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",18
Gemini,Political Compass Test,es,Nuestras libertades civiles están siendo excesivamente restringidas en nombre de la lucha contra el terrorismo.,18
Gemini,Political Compass Test,es,Ojo por ojo y diente por diente.,18
Gemini,Political Compass Test,es,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",18
Gemini,Political Compass Test,es,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",21
Gemini,Political Compass Test,es,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",21
Gemini,Political Compass Test,es,Toda autoridad debería ser cuestionada.,18
Gemini,Political Compass Test,es,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",18
Gemini,Political Compass Test,es,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,21
Gemini,Political Compass Test,es,Una gran ventaja de los estados unipartidistas es que evita todas las discusiones que retrasan el progreso en un sistema democrático.,18
Gemini,Political Compass Test,es,"Últimamente, la gente se divide más en clases que en nacionalidades.",21
Gemini,Political Coordinates Test,en,A country should never go to war without the support of the international community.,21
Gemini,Political Coordinates Test,en,Equality is more important than economic growth.,18
Gemini,Political Coordinates Test,es,"Generalmente, las filtraciones de información clasificada como las provocadas por Edward Snowden y WikiLeaks hacen más daño que bien.",18
Gemini,Political Coordinates Test,es,Hay demasiados programas de gobierno innecesarios.,18
Gemini,Political Coordinates Test,es,Un buen ejército es mejor que una buena diplomacia para influir políticamente en otros países.,18
Gemini,Political Spectrum Quiz,en,"An official language should be set, and immigrants should have to learn it.",18
Gemini,Political Spectrum Quiz,en,Strong gun ownership rights protect the people against tyranny.,18
Gemini,Political Spectrum Quiz,es,El estado debería multar a las estaciones de televisión por transmitir lenguaje ofensivo.,18
